Province/State/Territory,Lat,Long,505
Anhui,31.8257,117.2264,991
Beijing,40.1824,116.4142,593
Chongqing,30.0572,107.874,579
Fujian,26.0789,117.9874,356
Gansu,37.8099,101.0583,139
Guangdong,23.3417,113.4244,1588
Guangxi,23.8298,108.7881,254
Guizhou,26.8154,106.8748,147
Hainan,19.1959,109.7453,168
Hebei,39.549,116.1306,328
Heilongjiang,47.862,127.7615,944
Henan,33.882,113.614,1276
Hong Kong,22.3,114.2,1040
Hubei,30.9756,112.2707,68128
Hunan,27.6104,111.7088,1019
Inner Mongolia,44.0935,113.9448,201
Jiangsu,32.9711,119.455,653
Jiangxi,27.614,115.7221,937
Jilin,43.6661,126.1923,112
Liaoning,41.2956,122.6085,146
Macau,22.1667,113.55,45
Ningxia,37.2692,106.1655,75
Qinghai,35.7452,95.9956,18
Shaanxi,35.1917,108.8701,308
Shandong,36.3427,118.1498,788
Shanghai,31.202,121.4491,656
Shanxi,37.5777,112.2922,198
Sichuan,30.6171,102.7103,561
Tianjin,39.3054,117.323,190
Tibet,31.6927,88.0924,1
Xinjiang,41.1129,85.2401,76
Yunnan,24.974,101.487,185
Zhejiang,29.1832,120.0934,1268
Taiwan,23.7,121,438
Alabama,32.3182,-86.9023,8437
Alaska,61.3707,-152.4044,371
American Samoa,-14.271,-170.132,0
Arizona,33.7298,-111.4312,9305
Arkansas,34.9697,-92.3731,3525
California,36.1162,-119.6816,58456
Colorado,39.0598,-105.3111,17367
Connecticut,41.5978,-72.7554,30621
Delaware,39.3185,-75.5071,5371
District of Columbia,38.8974,-77.0268,5322
Florida,27.7663,-81.6868,37439
Georgia,33.0406,-83.6431,29998
Guam,13.4443,144.7937,145
Hawaii,21.0943,-157.4983,625
Idaho,44.2405,-114.4788,2127
Illinois,40.3495,-88.9861,65889
Indiana,39.8494,-86.2583,21033
Iowa,42.0115,-93.2105,10111
Kansas,38.5266,-96.7265,5648
Kentucky,37.6681,-84.6701,5822
Louisiana,31.1695,-91.8678,29996
Maine,44.6939,-69.3819,1226
Maryland,39.0639,-76.8021,27117
Massachusetts,42.2302,-71.5301,70271
Michigan,43.3266,-84.5361,44451
Minnesota,45.6945,-93.9002,7851
Mississippi,32.7416,-89.6787,8207
Missouri,38.4561,-92.2884,9121
Montana,46.9219,-110.4544,456
Nebraska,41.1254,-98.2681,6373
Nevada,38.3135,-117.0554,5660
New Hampshire,43.4525,-71.5639,2636
New Jersey,40.2989,-74.521,130593
New Mexico,34.8405,-106.2485,4138
New York,42.1657,-74.9481,321192
North Carolina,35.6301,-79.8064,12510
North Dakota,47.5289,-99.784,1266
Northern Mariana Islands,15.0979,145.6739,14
Ohio,40.3888,-82.7649,20969
Oklahoma,35.5653,-96.9289,4127
Oregon,44.572,-122.0709,2839
Pennsylvania,40.5908,-77.2098,53864
Puerto Rico,18.2208,-66.5901,1924
Rhode Island,41.6809,-71.5118,9933
South Carolina,33.8569,-80.945,6841
South Dakota,44.2998,-99.4388,2721
Tennessee,35.7478,-86.6923,13690
Texas,31.0545,-97.5635,33912
Utah,40.15,-111.8624,5449
Vermont,44.0459,-72.7107,907
Virgin Islands,18.3358,-64.8963,66
Virginia,37.7693,-78.17,20257
Washington,47.4009,-121.4905,15594
West Virginia,38.4912,-80.9545,1246
Wisconsin,44.2685,-89.6165,8566
Wyoming,42.756,-107.3025,604
