name,Abbreviation,Online Reg Implement Yr,Early Voting Status
Alabama,AL,2016,None
Alaska,AK,2015,Early Voting
Arizona,AZ,2002,Early Voting
Arkansas,AR,,Early Voting
California,CA,2012,Early Voting
Colorado,CO,2010,All-mail with EV options
Connecticut,CT,2014,None
Delaware,DE,2014,"Enacted EV, not implemented"
District of Columbia,DC,2015,Early Voting
Florida,FL,2017,Early Voting
Georgia,GA,2014,Early Voting
Hawaii,HI,2015,All-mail with EV options
Idaho,ID,2017,In-person absentee
Illinois,IL,2014,Early Voting
Indiana,IN,2010,In-person absentee
Iowa,IA,2016,In-person absentee
Kansas,KS,2009,In-person absentee
Kentucky,KY,2016,None
Louisiana,LA,2010,Early Voting
Maine,ME,,In-person absentee
Maryland,MD,2012,Early Voting
Massachusetts,MA,2015,Early Voting
Michigan,MI,2019,In-person absentee
Minnesota,MN,2013,In-person absentee
Mississippi,MS,,None
Missouri,MO,2014,None
Montana,MT,,In-person absentee
Nebraska,NE,2015,Early Voting
Nevada,NV,2012,Early Voting
New Hampshire,NH,,None
New Jersey,NJ,,In-person absentee
New Mexico,NM,2016,Early Voting
New York,NY,2011,Early Voting
North Carolina,NC,,Early Voting
North Dakota,ND,,Early Voting
Ohio,OH,2017,In-person absentee
Oklahoma,OK,2018,In-person absentee
Oregon,OR,2010,All-mail with EV options
Pennsylvania,PA,2015,None
Rhode Island,RI,2017,None
South Carolina,SC,2012,None
South Dakota,SD,,In-person absentee
Tennessee,TN,2017,Early Voting
Texas,TX,,Early Voting
Utah,UT,2010,All-mail with EV options
Vermont,VT,2015,In-person absentee
Virginia,VA,2013,In-person absentee
Washington,WA,2008,All-mail with EV options
West Virginia,WV,2015,Early Voting
Wisconsin,WI,2017,In-person absentee
Wyoming,WY,,In-person absentee
