postal,Minimum Number of Individuals (MNI),Associated Funerary Objects (AFO)
AK,10054,54797
AL,271,187
AZ,3807,4891
AR,288,617
CA,13560,169516
CO,279,39
CT,381,727
DC,1173,3975
DE,0,0
FL,6099,15149
GA,623,1541
HI,114,4
IA,171,258
IL,10978,57592
IN,5847,13499
ID,142,1
KS,757,38343
KY,4660,2788
LA,1453,785
MA,51,37
MD,276,102
ME,6784,14037
MI,1211,9955
MN,181,178
MO,539,141
MS,3518,9678
MT,43,150
NE,256,6458
NV,171,214
NH,17,49
NJ,36,160
NM,2450,1612
NY,4831,17132
NC,1384,7124
ND,3,0
OH,9432,119297
OK,3057,14170
OR,166,107
PA,2628,94529
RI,103,21
SC,420,10361
SD,63,171
TN,9464,78911
TX,3732,15643
UT,966,1447
VA,3,1
VT,741,5241
WA,189,84
WI,366,774
WV,2340,4089
WY,188,310
