State,Institution,MNI,AFO,CA,CUI,Geographic Area,County
IA,Putnam Museum of History and Natural Science,1,0,N/A,1,Wisconsin,
IL,Field Museum of Natural History,8,0,N/A,1,Wisconsin,
IL,Field Museum of Natural History,1,1,N/A,1,Wisconsin,
IN,Washington County Historical Society,1,0,N/A,1,Wisconsin,Washington
IN,Washington County Historical Society,1,0,N/A,1,Wisconsin,Washington
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,N/A,1,Wisconsin,Crawford
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,N/A,1,Wisconsin,Dane
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",24,0,N/A,1,Wisconsin,La Crosse
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,N/A,1,Wisconsin,Outagamie
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,N/A,1,Wisconsin,Racine
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,N/A,1,Wisconsin,Trempealeau
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",8,0,N/A,1,Wisconsin,Trempealeau
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,N/A,1,Wisconsin,Winnebago
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,4,N/A,1,Wisconsin,Winnebago
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,N/A,1,Wisconsin,Winnebago
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,N/A,1,Wisconsin,Winnebago
MA,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,N/A,1,Wisconsin,
MD,"U.S. Dept. of Defense, Defense Health Agency, National Museum of Health and Medicine",1,0,N/A,1,Wisconsin,Fond du Lac
MI,Grand Rapids Public Museum (formerly Public Museum of West Michigan),4,0,N/A,1,Wisconsin,Grant
MI,Univ. of Michigan Museum of Anthropology,1,0,N/A,1,Wisconsin,Milwaukee
MI,Grand Rapids Public Museum (formerly Public Museum of West Michigan),1,0,N/A,1,Wisconsin,Sheboygan
MI,Grand Rapids Public Museum (formerly Public Museum of West Michigan),1,0,N/A,1,Wisconsin,
MN,"U.S. Dept. of Defense, Army COE, St. Paul District",1,0,N/A,1,Wisconsin,Vernon
MN,"U.S. Dept. of Defense, Army COE, St. Paul District",1,0,N/A,1,Wisconsin,Vernon
OH,Dayton Museum of Natural History,1,0,N/A,1,Wisconsin,
PA,Univ. of Pennsylvania Museum of Archaeology and Anthropology,3,0,N/A,1,Wisconsin,Dane
PA,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,N/A,1,Wisconsin,
PA,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,N/A,1,Wisconsin,
TN,"Univ. of Tennessee, Knoxville, Frank H. McClung Museum",1,1,N/A,1,Wisconsin,Jefferson
