Institution,Label,First Nation,State,County,MNI,AFO,Published Date,Last Updated
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Caddo Nation of Oklahoma,AR,Saline,1,83,9/13/2013,9/16/2013
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,ND,Burleigh,1,0,8/14/2012,8/14/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,ND,Mercer,2,1,8/14/2012,8/23/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,ND,Morton,2,0,8/14/2012,8/14/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,ND,Oliver,5,11,8/14/2012,8/14/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,ND,Oliver,1,37,8/14/2012,8/14/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,ND,Oliver,5,0,8/14/2012,8/14/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,ND,Unknown,2,773,8/14/2012,8/14/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,ND,Unknown,3,0,8/14/2012,8/23/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,ND,Unknown,1,0,8/14/2012,8/14/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,SD,Hughes,11,1,8/14/2012,8/14/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,SD,Stanley,2,4,8/14/2012,8/14/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,SD,Sully,7,13,8/14/2012,8/23/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,Mandan-Hidatsa-Arikara Nation,SD,Unknown,6,0,8/14/2012,8/14/2012
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,All Ojibwe Nations in Wisconsin,WI,Ashland,2,9,5/13/2011,5/19/2011
"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,All Ojibwe Nations in Wisconsin,WI,Langlade,1,0,5/13/2011,5/19/2011
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,AK,Aleutians East,1,0,1/26/2001,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,AK,Kodiak Island,1,0,3/20/2001,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,AK,Prince of Wales-Outer Ketchikan,1,0,1/26/2001,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,AZ,Maricopa,2,0,11/23/2004,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,CA,Santa Barbara,1,0,3/20/2001,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,NE,Howard,1,0,2/21/2001,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,NE,Sarpy,2,0,3/20/2001,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,NM,Catron,1,0,3/25/2002,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,NY,Ontario,1,0,2/21/2001,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,ND,Morton,2,0,1/26/2001,11/27/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,ND,Morton,5,0,1/26/2001,11/27/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,OR,Unknown,1,0,1/14/2000,11/27/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,WA,Okanogan,2,158,1/26/2001,11/27/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,WI,Calumet,1,145,5/3/2001,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,WI,FondDuLac,1,1,11/23/2004,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,WI,GreenLake,1,1,11/23/2004,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,WI,Manitowoc,1,0,5/3/2001,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,WI,Vilas,2,20,1/26/2001,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,WI,Waukesha,1,3,5/3/2001,11/20/2009
Milwaukee Public Museum,MilwaukeePublicMuseum,NA,WI,Winnebago,1,0,11/23/2004,11/20/2009
